,region,year,all_sales,ev_sales,fossil_sales,ev_share,fossil_share
209,Sweden,2017,379393,20414,358979.0,5.09999990463257,94.90000009536743
210,Sweden,2018,353729,29100,324629.0,7.59999990463257,92.40000009536743
211,Sweden,2019,356036,41002,315034.0,11.0,89.0
212,Sweden,2020,292024,94005,198019.0,32.0,68.0
213,Sweden,2021,301006,135016,165990.0,43.0,57.0
214,Sweden,2022,288087,163002,125085.0,54.0,46.0
215,Canada,2011,681956,520,681436.0,0.041000001132488,99.95899999886751
216,Canada,2012,748530,1920,746610.0,0.140000000596046,99.85999999940395
217,Canada,2013,755615,3100,752515.0,0.219999998807907,99.7800000011921
218,Canada,2014,760449,5100,755349.0,0.349999994039536,99.65000000596046
219,Canada,2015,712322,6800,705522.0,0.449999988079071,99.55000001192093
220,Canada,2016,661088,11600,649488.0,0.759999990463257,99.24000000953674
221,Canada,2017,639824,16700,623124.0,1.0,99.0
222,Canada,2018,577711,44000,533711.0,2.79999995231628,97.20000004768372
223,Canada,2019,496846,51079,445767.0,3.40000009536743,96.59999990463257
224,Canada,2020,318750,51016,267734.0,4.19999980926514,95.80000019073486
225,Canada,2021,320605,87130,233475.0,6.40000009536743,93.59999990463257
226,Canada,2022,258483,115019,143464.0,9.5,90.5
227,Israel,2011,210000,3,209997.0,0.001300000003539,99.99869999999646
228,Israel,2012,190000,601,189399.0,0.270000010728836,99.72999998927116
229,Israel,2013,200000,477,199523.0,0.209999993443489,99.79000000655651
230,Israel,2014,228000,58,227942.0,0.021999999880791,99.97800000011921
231,Israel,2015,247300,68,247232.0,0.024000000208616,99.97599999979138
232,Israel,2016,276900,68,276832.0,0.021999999880791,99.97800000011921
233,Israel,2017,271134,1630,269504.0,0.519999980926514,99.48000001907349
234,Israel,2018,257465,3730,253735.0,1.20000004768372,98.79999995231628
235,Israel,2019,239671,4750,234921.0,1.60000002384186,98.39999997615814
236,Israel,2020,202366,6900,195466.0,2.59999990463257,97.40000009536743
237,Israel,2021,272646,24000,248646.0,6.90000009536743,93.09999990463257
238,Israel,2022,257743,43000,214743.0,12.0,88.0
239,Switzerland,2011,318958,441,318517.0,0.140000000596046,99.85999999940395
240,Switzerland,2012,328139,740,327399.0,0.230000004172325,99.76999999582767
241,Switzerland,2013,307885,1370,306515.0,0.430000007152557,99.56999999284744
242,Switzerland,2014,301942,2900,299042.0,0.959999978542328,99.04000002145767
243,Switzerland,2015,323783,5710,318073.0,1.70000004768372,98.29999995231628
244,Switzerland,2016,317318,6126,311192.0,1.89999997615814,98.10000002384186
245,Switzerland,2017,311996,8401,303595.0,2.70000004768372,97.29999995231628
246,Switzerland,2018,299135,9522,289613.0,3.20000004768372,96.79999995231628
247,Switzerland,2019,311466,17325,294141.0,5.59999990463257,94.40000009536743
248,Switzerland,2020,236828,34000,202828.0,14.0,86.0
249,Switzerland,2021,238481,54056,184425.0,23.0,77.0
250,Switzerland,2022,226006,59072,166934.0,26.0,74.0
251,Austria,2013,319035,650,318385.0,0.200000002980232,99.79999999701977
252,Austria,2014,303318,1706,301612.0,0.569999992847443,99.43000000715256
253,Austria,2015,308555,2804,305751.0,0.899999976158142,99.10000002384186
254,Austria,2016,329604,5000,324604.0,1.5,98.5
255,Austria,2017,353320,7102,346218.0,2.0,98.0
256,Austria,2018,341068,9107,331961.0,2.59999990463257,97.40000009536743
257,Austria,2019,320381,11519,308862.0,3.5,96.5
258,Austria,2020,257721,23614,234107.0,9.5,90.5
259,Austria,2021,239803,48014,191789.0,20.0,80.0
260,Austria,2022,215050,47014,168036.0,22.0,78.0
261,Colombia,2015,236800,42,236758.0,0.017000000923872,99.98299999907613
262,Colombia,2016,215700,53,215647.0,0.023000000044704,99.9769999999553
263,Colombia,2017,206336,148,206188.0,0.06700000166893,99.93299999833107
264,Colombia,2018,220088,570,219518.0,0.239999994635582,99.76000000536442
265,Colombia,2019,220581,1320,219261.0,0.550000011920929,99.44999998807907
266,Colombia,2020,85282,950,84332.0,0.569999992847443,99.43000000715256
267,Colombia,2021,200914,2540,198374.0,1.20000004768372,98.79999995231628
268,Colombia,2022,208160,4300,203860.0,2.0,98.0
269,Norway,2010,127754,360,127394.0,0.280000001192093,99.7199999988079
270,Norway,2011,138345,2000,136345.0,1.39999997615814,98.60000002384186
271,Norway,2012,137967,4220,133747.0,3.09999990463257,96.90000009536743
272,Norway,2013,142151,8240,133911.0,5.80000019073486,94.19999980926514
273,Norway,2014,144202,21704,122498.0,15.0,85.0
274,Norway,2015,150686,33909,116777.0,22.0,78.0
275,Norway,2016,154603,45020,109583.0,29.0,71.0
276,Norway,2017,158650,62030,96620.0,39.0,61.0
277,Norway,2018,147929,73045,74884.0,49.0,51.0
278,Norway,2019,133964,79029,54935.0,56.0,44.0
279,Norway,2020,124424,106016,18408.0,75.0,25.0
280,Norway,2021,176276,148039,28237.0,86.0,14.0
281,Norway,2022,174329,156027,18302.0,89.0,11.0
282,Portugal,2010,223464,13,223451.0,0.005799999926239,99.99420000007376
283,Portugal,2011,153404,172,153232.0,0.109999999403954,99.89000000059605
284,Portugal,2012,95309,84,95225.0,0.087999999523163,99.91200000047684
285,Portugal,2013,105921,185,105736.0,0.170000001788139,99.82999999821186
286,Portugal,2014,142826,288,142538.0,0.200000002980232,99.79999999701977
287,Portugal,2015,178503,1100,177403.0,0.620000004768372,99.37999999523163
288,Portugal,2016,207345,1800,205545.0,0.870000004768372,99.12999999523163
289,Portugal,2017,222129,4400,217729.0,2.0,98.0
290,Portugal,2018,228327,8200,220127.0,3.59999990463257,96.40000009536743
291,Portugal,2019,223799,12600,211199.0,5.59999990463257,94.40000009536743
292,Portugal,2020,145417,19800,125617.0,13.0,87.0
293,Portugal,2021,149740,29001,120739.0,20.0,80.0
294,Portugal,2022,156304,34000,122304.0,22.0,78.0
295,Denmark,2011,170036,422,169614.0,0.25,99.75
296,Denmark,2012,170763,502,170261.0,0.28999999165535,99.71000000834465
297,Denmark,2013,182086,525,181561.0,0.280000001192093,99.7199999988079
298,Denmark,2014,189055,1691,187364.0,0.899999976158142,99.10000002384186
299,Denmark,2015,207717,4758,202959.0,2.29999995231628,97.70000004768372
300,Denmark,2016,222924,1884,221040.0,0.850000023841858,99.14999997615814
301,Denmark,2017,221821,1345,220476.0,0.600000023841858,99.39999997615814
302,Denmark,2018,218566,4605,213961.0,2.09999990463257,97.90000009536743
303,Denmark,2019,225581,9408,216173.0,4.19999980926514,95.80000019073486
304,Denmark,2020,198130,32045,166085.0,16.0,84.0
305,Denmark,2021,185324,65078,120246.0,35.0,65.0
306,Denmark,2022,148293,57006,91287.0,39.0,61.0
307,Romania,2015,98325,24,98301.0,0.029999999329448,99.97000000067055
308,Romania,2016,115004,74,114930.0,0.079999998211861,99.92000000178814
309,Romania,2017,105083,190,104893.0,0.180000007152557,99.81999999284744
310,Romania,2018,129004,600,128404.0,0.46000000834465,99.53999999165535
311,Romania,2019,161562,1500,160062.0,0.930000007152557,99.06999999284744
312,Romania,2020,126351,3800,122551.0,3.09999990463257,96.90000009536743
313,Romania,2021,120804,6300,114504.0,5.19999980926514,94.80000019073486
314,Romania,2022,127948,12000,115948.0,9.0,91.0
315,New Zealand,2010,62029,10,62019.0,0.006300000008196,99.9936999999918
316,New Zealand,2011,63471,15,63456.0,0.009899999946356,99.99010000005364
317,New Zealand,2012,76871,27,76844.0,0.017000000923872,99.98299999907613
318,New Zealand,2013,82433,36,82397.0,0.018999999389052,99.98100000061095
319,New Zealand,2014,90131,320,89811.0,0.140000000596046,99.85999999940395
320,New Zealand,2015,94964,500,94464.0,0.300000011920929,99.69999998807907
321,New Zealand,2016,102514,1540,100974.0,0.779999971389771,99.22000002861023
322,New Zealand,2017,107951,3440,104511.0,1.39999997615814,98.60000002384186
323,New Zealand,2018,107674,5600,102074.0,2.09999990463257,97.90000009536743
324,New Zealand,2019,103610,6902,96708.0,2.29999995231628,97.70000004768372
325,New Zealand,2020,80433,5403,75030.0,1.60000002384186,98.39999997615814
326,New Zealand,2021,111299,10301,100998.0,3.40000009536743,96.59999990463257
327,New Zealand,2022,116334,28210,88124.0,11.0,89.0
328,Hungary,2015,77171,135,77036.0,0.170000001788139,99.82999999821186
329,Hungary,2016,96552,340,96212.0,0.360000014305115,99.63999998569489
330,Hungary,2017,116265,1190,115075.0,1.0,99.0
331,Hungary,2018,136601,2070,134531.0,1.5,98.5
332,Hungary,2019,157900,2900,155000.0,1.89999997615814,98.10000002384186
333,Hungary,2020,128021,6000,122021.0,4.69999980926514,95.30000019073486
334,Hungary,2021,121920,8500,113420.0,7.0,93.0
335,Hungary,2022,111524,9600,101924.0,8.60000038146973,91.39999961853027
336,Greece,2013,58694,3,58691.0,0.005100000184029,99.99489999981597
337,Greece,2014,71218,39,71179.0,0.054999999701977,99.94500000029802
338,Greece,2015,75805,57,75748.0,0.078000001609325,99.92199999839067
339,Greece,2016,78873,97,78776.0,0.119999997317791,99.88000000268221
340,Greece,2017,88083,190,87893.0,0.219999998807907,99.7800000011921
341,Greece,2018,103431,298,103133.0,0.28999999165535,99.71000000834465
342,Greece,2019,114109,480,113629.0,0.419999986886978,99.58000001311302
343,Greece,2020,80977,2180,78797.0,2.59999990463257,97.40000009536743
344,Greece,2021,100916,7000,93916.0,6.90000009536743,93.09999990463257
345,Greece,2022,105283,8300,96983.0,7.90000009536743,92.09999990463257
346,Ireland,2015,124804,590,124214.0,0.469999998807907,99.5300000011921
347,Ireland,2016,146600,690,145910.0,0.469999998807907,99.5300000011921
348,Ireland,2017,131332,950,130382.0,0.72000002861023,99.27999997138977
349,Ireland,2018,125557,1940,123617.0,1.60000002384186,98.39999997615814
350,Ireland,2019,117109,4700,112409.0,4.09999990463257,95.90000009536743
351,Ireland,2020,88324,6500,81824.0,7.40000009536743,92.59999990463257
352,Ireland,2021,104669,16500,88169.0,16.0,84.0
353,Ireland,2022,105253,23700,81553.0,22.0,78.0
354,Finland,2011,126123,30,126093.0,0.025000000372529,99.97499999962747
355,Finland,2012,111251,181,111070.0,0.170000001788139,99.82999999821186
356,Finland,2013,103455,220,103235.0,0.209999993443489,99.79000000655651
357,Finland,2014,106237,440,105797.0,0.409999996423721,99.59000000357628
358,Finland,2015,108819,660,108159.0,0.600000023841858,99.39999997615814
359,Finland,2016,118991,1420,117571.0,1.20000004768372,98.79999995231628
360,Finland,2017,120480,3100,117380.0,2.59999990463257,97.40000009536743
361,Finland,2018,120480,5680,114800.0,4.69999980926514,95.30000019073486
362,Finland,2019,114202,7900,106302.0,6.90000009536743,93.09999990463257
363,Finland,2020,96392,17200,79192.0,18.0,82.0
364,Finland,2021,98481,30001,68480.0,31.0,69.0
365,Finland,2022,81674,31000,50674.0,38.0,62.0
366,Slovakia,2015,77968,52,77916.0,0.070000000298023,99.92999999970198
367,Slovakia,2016,88165,59,88106.0,0.070000000298023,99.92999999970198
368,Slovakia,2017,96105,210,95895.0,0.219999998807907,99.7800000011921
369,Slovakia,2018,98080,290,97790.0,0.300000011920929,99.69999998807907
370,Slovakia,2019,101568,360,101208.0,0.360000014305115,99.63999998569489
371,Slovakia,2020,76305,1780,74525.0,2.29999995231628,97.70000004768372
372,Slovakia,2021,75700,2300,73400.0,3.0,97.0
373,Slovakia,2022,78841,3000,75841.0,3.70000004768372,96.29999995231628
374,Croatia,2019,62977,257,62720.0,0.409999996423721,99.59000000357628
375,Croatia,2020,36057,670,35387.0,1.89999997615814,98.10000002384186
376,Croatia,2021,44929,1800,43129.0,3.79999995231628,96.20000004768372
377,Croatia,2022,42955,2240,40715.0,5.0,95.0
378,Bulgaria,2015,23500,21,23479.0,0.090000003576279,99.90999999642372
379,Bulgaria,2016,26370,13,26357.0,0.050000000745058,99.94999999925494
380,Bulgaria,2017,33265,106,33159.0,0.340000003576279,99.65999999642372
381,Bulgaria,2018,37506,216,37290.0,0.639999985694885,99.36000001430511
382,Bulgaria,2019,35371,236,35135.0,0.670000016689301,99.3299999833107
383,Bulgaria,2021,24537,550,23987.0,2.20000004768372,97.79999995231628
384,Bulgaria,2022,28684,1140,27544.0,4.0,96.0
385,Costa Rica,2015,41800,4,41796.0,0.009600000455976,99.99039999954402
386,Costa Rica,2016,48300,12,48288.0,0.025000000372529,99.97499999962747
387,Costa Rica,2017,41330,25,41305.0,0.059999998658896,99.9400000013411
388,Costa Rica,2018,33352,200,33152.0,0.589999973773956,99.41000002622604
389,Costa Rica,2019,30825,460,30365.0,1.5,98.5
390,Costa Rica,2020,0,630,,2.70000004768372,
391,Costa Rica,2021,0,1000,,3.90000009536743,
392,Costa Rica,2022,0,1600,,5.5,
393,Cyprus,2019,12438,23,12415.0,0.189999997615814,99.81000000238419
394,Cyprus,2020,0,125,,1.39999997615814,
395,Cyprus,2021,0,182,,1.70000004768372,
396,Cyprus,2022,0,630,,5.40000009536743,
397,Estonia,2015,20347,34,20313.0,0.159999996423721,99.84000000357628
398,Estonia,2016,22429,35,22394.0,0.150000005960464,99.84999999403954
399,Estonia,2017,25618,46,25572.0,0.180000007152557,99.81999999284744
400,Estonia,2018,26297,118,26179.0,0.46000000834465,99.53999999165535
401,Estonia,2019,32132,97,32035.0,0.360000014305115,99.63999998569489
402,Estonia,2020,0,415,,1.79999995231628,
403,Estonia,2021,0,720,,3.20000004768372,
404,Estonia,2022,0,1160,,5.40000009536743,
405,Iceland,2012,7902,26,7876.0,0.330000013113022,99.66999998688698
406,Iceland,2013,7274,103,7171.0,1.39999997615814,98.60000002384186
407,Iceland,2014,9536,229,9307.0,2.40000009536743,97.59999990463257
408,Iceland,2015,14004,560,13444.0,3.90000009536743,96.09999990463257
409,Iceland,2016,18442,1160,17282.0,6.30000019073486,93.69999980926514
410,Iceland,2017,21324,3040,18284.0,14.0,86.0
411,Iceland,2018,17976,3696,14280.0,20.0,80.0
412,Iceland,2019,11692,3107,8585.0,26.0,74.0
413,Iceland,2020,0,4901,,52.0,
414,Iceland,2021,0,9103,,70.0,
415,Iceland,2022,0,12000,,69.0,
416,Latvia,2015,13765,26,13739.0,0.189999997615814,99.81000000238419
417,Latvia,2016,16359,40,16319.0,0.239999994635582,99.76000000536442
418,Latvia,2017,16698,40,16658.0,0.239999994635582,99.76000000536442
419,Latvia,2018,16878,90,16788.0,0.529999971389771,99.47000002861023
420,Latvia,2019,16974,98,16876.0,0.540000021457672,99.45999997854233
421,Latvia,2020,0,383,,2.59999990463257,
422,Latvia,2021,0,550,,3.90000009536743,
423,Latvia,2022,0,1400,,8.10000038146973,
424,Lithuania,2015,17085,37,17048.0,0.219999998807907,99.7800000011921
425,Lithuania,2016,20320,64,20256.0,0.319999992847443,99.68000000715256
426,Lithuania,2017,25836,52,25784.0,0.200000002980232,99.79999999701977
427,Lithuania,2019,43109,160,42949.0,0.349999994039536,99.65000000596046
428,Lithuania,2020,0,450,,1.10000002384186,
429,Lithuania,2021,0,1600,,5.0,
430,Lithuania,2022,0,2070,,7.90000009536743,
431,Luxembourg,2019,54938,1900,53038.0,3.5,96.5
432,Luxembourg,2020,0,5200,,11.0,
433,Luxembourg,2021,0,9000,,20.0,
434,Luxembourg,2022,0,10200,,24.0,
435,Slovenia,2016,63674,186,63488.0,0.319999992847443,99.68000000715256
436,Slovenia,2017,62522,460,62062.0,0.639999985694885,99.36000001430511
437,Slovenia,2018,65115,660,64455.0,0.910000026226044,99.08999997377396
438,Slovenia,2019,70904,218,70686.0,0.28999999165535,99.71000000834465
439,Slovenia,2020,0,1639,,3.09999990463257,
440,Slovenia,2021,0,2010,,3.79999995231628,
441,Slovenia,2022,0,2890,,6.19999980926514,
