,Vehicle,Range (km)
0,Mercedes-Benz EQS 450+,690
1,Lucid Air Grand Touring,665
2,Mercedes-Benz EQS 450 4MATIC,660
3,Mercedes-Benz EQS 500 4MATIC,645
4,Mercedes-Benz EQS 580 4MATIC,640
5,Mercedes-Benz EQS AMG 53 4MATIC+,585
6,Lucid Air Touring,580
7,Tesla Model S Dual Motor,575
8,Lucid Air Pure RWD,565
9,Porsche Taycan Plus,560
10,Tesla Model S Plaid,560
11,Mercedes-Benz EQE 350+,555
12,Porsche Taycan 4S Plus,550
13,Mercedes-Benz EQS SUV 450+,540
14,Mercedes-Benz EQS SUV 450 4MATIC,530
15,Mercedes-Benz EQS SUV 500 4MATIC,530
16,Mercedes-Benz EQS SUV 580 4MATIC,530
17,Lotus Emeya,530
18,Lotus Emeya S,530
19,Zeekr 001 Long Range RWD,525
20,Mercedes-Benz EQE 300,525
21,Audi Q8 e-tron Sportback 55 quattro,525
22,VinFast VF 9 Extended Range,520
23,Volkswagen ID.7 Pro S,520
24,Porsche Taycan Turbo,520
25,BMW i7 eDrive50,520
26,Porsche Taycan Plus Sport Turismo,515
27,BMW i4 eDrive40,515
28,Mercedes-Benz EQE 350 4MATIC,515
29,Volkswagen ID.7 Tourer Pro S,510
30,BMW i7 xDrive60,510
31,Fisker Ocean Ultra,510
32,Peugeot e-3008 98 kWh Long Range,510
33,Porsche Taycan 4 Cross Turismo,505
34,Porsche Taycan 4S Cross Turismo,505
35,Mercedes-Benz EQE 500 4MATIC,505
36,BMW iX xDrive50,505
37,NIO ET7 100 kWh,505
38,Audi Q8 e-tron 55 quattro,505
39,Porsche Taycan Turbo S,500
40,Zeekr 001 Performance AWD,500
41,Tesla Model 3 Long Range Dual Motor,500
42,BYD SEAL 82.5 kWh RWD Design,500
43,NIO ET5 100 kWh,500
44,XPENG P7 RWD Long Range,495
45,Polestar 4 Long Range Single Motor,495
46,Porsche Taycan 4S Plus Sport Turismo,495
47,Porsche Taycan Turbo Cross Turismo,495
48,Zeekr 001 Privilege AWD,495
49,Hyundai IONIQ 6 Long Range 2WD,495
50,Lotus Eletre,495
51,Renault Scenic E-Tech EV87 220hp,490
52,Mercedes-Benz EQS SUV Maybach 680,490
53,BMW i7 M70 xDrive,490
54,Peugeot e-5008 98 kWh Long Range,490
55,XPENG G6 RWD Long Range,490
56,BMW i4 xDrive40,490
57,Fisker Ocean Extreme,490
58,BYD SEAL 82.5 kWh AWD Excellence,490
59,Polestar 3 Long Range Dual motor,490
60,Porsche Macan 4 Electric,485
61,Porsche Taycan,485
62,BMW iX M60,485
63,NIO ET5 Touring 100 kWh,485
64,Voyah Free 106 kWh,480
65,Lotus Eletre S,480
66,XPENG G9 RWD Long Range,480
67,Porsche Macan Turbo Electric,480
68,XPENG G6 AWD Performance,480
69,Audi Q6 e-tron performance,480
70,Skoda Enyaq Coupe 85,480
71,Audi SQ8 e-tron Sportback,480
72,Ford Mustang Mach-E ER RWD,480
73,Porsche Taycan 4S,475
74,Porsche Taycan Turbo S Cross Turismo,475
75,Porsche Taycan Turbo GT,475
76,Porsche Taycan Turbo GT Weissach,475
77,Tesla Model X Dual Motor,475
78,Volkswagen ID.7 GTX,475
79,BYD HAN,475
80,Mercedes-Benz EQE SUV 350+,475
81,Polestar 2 Long Range Single Motor,470
82,Volkswagen ID.7 Pro,470
83,Porsche Taycan Turbo Sport Turismo,470
84,Lotus Emeya R,470
85,BMW i5 eDrive40 Sedan,470
86,Polestar 3 Long Range Performance,470
87,Skoda Enyaq Coupe 85x,470
88,XPENG G9 AWD Performance,465
89,Polestar 4 Long Range Dual Motor,465
90,Volkswagen ID.7 Tourer GTX,465
91,Tesla Model 3 Performance,465
92,Rolls-Royce Spectre,465
93,Volvo EX90 Twin Motor,465
94,Hongqi E-HS9 120 kWh,460
95,XPENG P7 AWD Performance,460
96,Porsche Taycan Turbo S Sport Turismo,460
97,Volkswagen ID.7 Tourer Pro,460
98,CUPRA Born VZ,460
99,Audi Q6 e-tron quattro,460
100,Volkswagen ID.3 GTX,460
101,Volkswagen ID.3 GTX Performance,460
102,Tesla Model Y Long Range RWD,460
103,Volvo EX90 Single Motor,460
104,Mercedes-Benz EQE SUV 500 4MATIC,455
105,XPENG P7 Wing Edition,455
106,Volkswagen ID.3 Pro S - 4 Seats,455
107,BMW i5 xDrive40 Sedan,455
108,BMW i5 eDrive40 Touring,455
109,Tesla Model X Plaid,455
110,Lotus Eletre R,455
111,Skoda Enyaq Coupe RS,455
112,Audi SQ8 e-tron,455
113,Volkswagen ID.5 Pro,455
114,Nissan Ariya 87kWh,450
115,Polestar 2 Long Range Dual Motor,450
116,Polestar 2 Long Range Performance,450
117,Kia EV9 99.8 kWh RWD,450
118,BMW i4 M50,450
119,Mercedes-Benz EQE AMG 43 4MATIC,450
120,Mercedes-Benz EQE AMG 53 4MATIC+,450
121,Volkswagen ID.3 Pro S,450
122,Kia EV3 Long Range,450
123,CUPRA Tavascan Endurance,450
124,Skoda Enyaq 85,450
125,CUPRA Born 170 kW - 77 kWh,450
126,Volvo EX90 Twin Motor Performance,450
127,Mercedes-Benz EQE SUV 300,450
128,Porsche Taycan Sport Turismo,445
129,Audi SQ6 e-tron,445
130,Audi Q8 e-tron Sportback 50 quattro,445
131,Volkswagen ID.4 Pro,445
132,Ford Mustang Mach-E ER AWD,445
133,Genesis G80 Electrified Luxury,440
134,Hyundai IONIQ 6 Long Range AWD,440
135,Skoda Enyaq 85x,440
136,Kia EV9 99.8 kWh AWD,435
137,Tesla Model Y Long Range Dual Motor,435
138,NIO EL6 100 kWh,435
139,Audi Q4 Sportback e-tron 45,435
140,Skoda Enyaq RS,435
141,Volkswagen ID.4 Pro 4MOTION,435
142,Mercedes-Benz EQE SUV 350 4MATIC,435
143,Porsche Taycan 4S Sport Turismo,430
144,Ford Explorer Extended Range RWD,430
145,Ford Explorer Extended Range AWD,430
146,BMW i4 eDrive35,430
147,MG Cyberster Trophy,430
148,CUPRA Tavascan VZ,430
149,Volkswagen ID.5 GTX,430
150,NIO EL7 100 kWh,430
151,VinFast VF 8 Eco Extended Range,425
152,VinFast VF 8 Plus Extended Range,425
153,MG MG4 Electric 77 kWh,425
154,Kia EV9 99.8 kWh AWD GT-Line,425
155,Audi Q8 e-tron 50 quattro,425
156,Ford Mustang Mach-E GT,425
157,Maserati GranTurismo Folgore,420
158,Volvo EC40 Single Motor ER,420
159,BMW i5 M60 xDrive Sedan,420
160,Mercedes-Benz EQA 250+,420
161,Audi Q4 e-tron 45,420
162,Volkswagen ID.4 GTX,420
163,BMW i5 M60 xDrive Touring,415
164,Tesla Model Y Performance,415
165,Mercedes-Benz EQB 250+,415
166,Tesla Model 3,415
167,Audi Q4 Sportback e-tron 55 quattro,415
168,Mercedes-Benz EQE SUV AMG 43 4MATIC,415
169,Kia EV6 Long Range 2WD,410
170,Audi Q4 Sportback e-tron 45 quattro,410
171,Mercedes-Benz EQE SUV AMG 53 4MATIC+,410
172,BYD SEAL U 87 kWh Design,405
173,Nissan Ariya e-4ORCE 87kWh - 225 kW,405
174,Nissan Ariya e-4ORCE 87kWh - 290 kW,405
175,Polestar 2 Standard Range Single Motor,405
176,Maserati Grecale Folgore,400
177,Volvo EX40 Single Motor ER,400
178,Volvo EC40 Twin Motor Performance,400
179,Volvo EC40 Twin Motor,400
180,MG Cyberster GT,400
181,Kia EV6 Long Range AWD,400
182,NIO ET7 75 kWh,400
183,XPENG G9 RWD Standard Range,395
184,BMW iX2 eDrive20,395
185,Maserati GranCabrio Folgore,395
186,Mercedes-Benz EQA 250,395
187,Audi Q4 e-tron 45 quattro,395
188,Audi Q4 e-tron 55 quattro,395
189,NIO ET5 75 kWh,395
190,Hyundai Kona Electric 65 kWh,390
191,Genesis GV60 Premium,390
192,Hyundai IONIQ 5 Long Range 2WD,390
193,Elaris BEO 86 kWh,390
194,BMW iX1 eDrive20,390
195,Volvo EX40 Twin Motor,385
196,NIO ET5 Touring 75 kWh,385
197,Hyundai IONIQ 5 Long Range AWD,385
198,Kia Niro EV,385
199,Mini Countryman E,385
200,Hyundai IONIQ 5 N,385
201,BMW iX3,385
202,Jaguar I-Pace EV400,380
203,Renault Megane E-Tech EV60 130hp,380
204,Volvo EX40 Twin Motor Performance,380
205,Genesis GV60 Sport,380
206,BMW iX1 xDrive30,380
207,Peugeot e-3008 73 kWh,380
208,Peugeot e-3008 73 kWh Dual Motor,380
209,Renault Megane E-Tech EV60 220hp,380
210,Ford Mustang Mach-E SR RWD,380
211,BMW iX2 xDrive30,380
212,XPENG G6 RWD Standard Range,375
213,MG ZS EV Long Range,370
214,Peugeot e-5008 73 kWh,370
215,Volkswagen ID. Buzz LWB Pro S,370
216,Hongqi E-HS9 99 kWh,370
217,Kia e-Soul 64 kWh,370
218,Maxus MIFA 9,365
219,Peugeot e-5008 73 kWh Dual Motor,365
220,Genesis GV60 Sport Plus,365
221,Mini Countryman SE ALL4,365
222,MG Marvel R,365
223,Volvo EC40 Single Motor,360
224,Volvo EX30 Single Motor ER,360
225,Mercedes-Benz G 580,360
226,Volkswagen ID.3 Pro,360
227,MG MG4 Electric 64 kWh,360
228,Kia EV6 GT,360
229,BMW iX xDrive40,360
230,Skoda Enyaq Coupe 60,360
231,Smart #3 Premium,355
232,Volkswagen ID. Buzz LWB GTX ,355
233,KGM Torres EVX,355
234,Zeekr X Long Range RWD,355
235,Smart #3 Pro+,355
236,BYD TANG,355
237,Toyota bZ4X FWD,350
238,Volkswagen ID.3 Pro,350
239,BYD DOLPHIN 60.4 kWh,350
240,NIO EL6 75 kWh,350
241,Lexus RZ 450e,350
242,Fisker Ocean Sport,350
243,Tesla Model Y,350
244,Genesis GV70 Electrified Sport,350
245,Mercedes-Benz EQA 300 4MATIC,350
246,MG Marvel R Performance,350
247,Mercedes-Benz EQA 350 4MATIC,350
248,Tesla Model Y,350
249,Aiways U6,350
250,CUPRA Born 150 kW - 58 kWh,350
251,Ford Mustang Mach-E SR AWD,350
252,Toyota bZ4X AWD,345
253,Volvo EX40 Single Motor,345
254,Volkswagen ID. Buzz Pro,345
255,Zeekr X Privilege AWD,345
256,Mercedes-Benz EQB 300 4MATIC,345
257,Mercedes-Benz EQB 350 4MATIC,345
258,CUPRA Born 170 kW - 58 kWh,345
259,Renault Scenic E-Tech EV60 170hp,340
260,GWM ORA 3 63 kWh,340
261,BYD SEAL U 71.8 kWh Comfort,340
262,Nissan Leaf e+,340
263,Lexus UX 300e,340
264,NIO EL7 75 kWh,340
265,Smart #1 Premium,335
266,Nissan Ariya 63kWh,335
267,Volkswagen ID. Buzz LWB Pro,335
268,Volkswagen ID. Buzz GTX,335
269,Volvo EX30 Twin Motor Performance,335
270,Smart #1 Pro+,335
271,Honda e:Ny1,335
272,Hyundai IONIQ 6 Standard Range 2WD,335
273,MG MG5 Electric Long Range,335
274,Smart #3 Brabus,335
275,Skoda Enyaq 60,335
276,Citroen e-C4 54 kWh,330
277,Citroen e-C4 X 54 kWh,330
278,BYD ATTO 3,330
279,GWM ORA 3 GT,325
280,Smart #1 Pulse,325
281,Kia EV3 Standard Range,325
282,Smart #1 Brabus,325
283,Opel Astra Electric,320
284,Subaru Solterra AWD,320
285,Renault 5 E-Tech 52kWh 150hp,320
286,Mercedes-Benz eVito Tourer Long 90 kWh,320
287,Alfa Romeo Junior Elettrica 54 kWh,320
288,MG MG4 Electric XPOWER,320
289,Volkswagen ID.3 Pure,320
290,Hongqi E-HS9 84 kWh,320
291,Mercedes-Benz EQV 300 Long,315
292,Renault Zoe ZE50 R110,315
293,Aiways U5,315
294,Opel Corsa Electric 51 kWh,315
295,Opel Astra Sports Tourer Electric,310
296,Jeep Avenger Electric,310
297,Lancia Ypsilon,310
298,Alfa Romeo Junior Elettrica 54 kWh Veloce,310
299,Peugeot e-208 51 kWh,310
300,Renault Zoe ZE50 R135,310
301,Fiat 600e,305
302,Kia EV6 Standard Range 2WD,305
303,Mini Cooper SE,305
304,Mini Aceman SE,300
305,Peugeot e-2008 54 kWh,300
306,MG MG4 Electric 51 kWh,300
307,Peugeot e-308,300
308,Peugeot e-308 SW,300
309,DS 3 E-Tense,300
310,Hyundai Kona Electric 48 kWh,295
311,Opel Corsa Electric 50 kWh,295
312,Hyundai IONIQ 5 Standard Range 2WD,295
313,Opel Mokka-e 54 kWh,290
314,Citroen e-C4,290
315,SsangYong Korando e-Motion,290
316,Peugeot e-208 50 kWh,290
317,Citroen e-C4 X,285
318,Volkswagen ID.4 Pure,285
319,Ford Explorer Standard Range RWD,280
320,Volvo EX30 Single Motor,275
321,Peugeot e-2008 50 kWh,270
322,MG ZS EV Standard Range,265
323,Smart #3 Pro,265
324,MG MG5 Electric Standard Range,265
325,BYD DOLPHIN 44.9 kWh Active,265
326,Citroen e-C3,265
327,Renault Megane E-Tech EV40 130hp,260
328,GWM ORA 3 48 kWh,260
329,Opel Mokka-e 50 kWh,260
330,BYD DOLPHIN 44.9 kWh Boost,260
331,Renault 5 E-Tech 40kWh 95hp,255
332,Renault 5 E-Tech 40kWh 120hp,255
333,Smart #1 Pro,250
334,Fiat 500e Hatchback 42 kWh,235
335,Fiat 500e 3+1 42 kWh,235
336,Citroen e-Berlingo M 50 kWh,235
337,Nissan Leaf,235
338,Citroen e-Berlingo XL 50 kWh,230
339,Mini Aceman E,230
340,Mini Cooper E,230
341,Kia e-Soul 39.2 kWh,230
342,Fiat 500e Cabrio 42 kWh,230
343,Abarth 500e Hatchback,225
344,Abarth 500e Convertible,225
345,Mercedes-Benz EQT 200 Standard,225
346,Nissan Townstar EV Passenger,225
347,Renault Kangoo E-Tech Electric,220
348,Mercedes-Benz eVito Tourer Long 60 kWh,220
349,Mercedes-Benz EQV 250 Long,215
350,Mercedes-Benz eVito Tourer Extra-Long 60 kWh,215
351,Mercedes-Benz EQV 250 Extra-Long,210
352,Mazda MX-30,170
353,Dacia Spring Electric 45,165
354,Dacia Spring Electric 65,160
355,e.Go e.wave X,150
356,Fiat 500e Hatchback 24 kWh,135
357,Fiat 500e 3+1 24 kWh,135
358,Fiat 500e Cabrio 24 kWh,135
359,Renault Twingo Electric,135
